Y,X,,Status,Tissue,Count,Height (cm),Herbivory,Notes,Photo,subsite,plot
1,1,Arctagrostis latifolia,Standing dead,Leaf,1,15.9,,Record  species which are in the plot but weren’t hit,FALSE,HE,1
,,Eriophorum vaginatum,Live,Leaf,5,,,Senecio astropurpureus,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,Leaf,4,,,Cardamine digitalis,FALSE,HE,1
,,XXXlitter,,,,,,Pedicularis lanata,FALSE,HE,1
1,2,Hierochole alpine,Standing dead,Leaf,1,13.9,,Artemisia norvegica,FALSE,HE,1
,,Eriophorum vaginatum,Live,Leaf,4,,,Moss dinosaur ,FALSE,HE,1
,,,Standing dead,Leaf,4,,,,FALSE,HE,1
,,XXXothermoss,,,,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
1,3,Salix pulchra,Live,Leaf,2,10.8,,,FALSE,HE,1
,,Salix pulchra,Live,Stem,2,,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,Leaf,2,,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,Leaf,6,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
1,4,Eriophorum vaginatum,Live,Flower stalk,1,23.5,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,Leaf,6,,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,Leaf,3,,,,FALSE,HE,1
,,Cassiope tetragona,Live,Leaf,1,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
1,5,Poa arctica,Live,Flower,1,17,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,Leaf,3,,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,Leaf,6,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,6,Eriophorum vaginatum,Live,,1,8.4,,,FALSE,HE,1
,,,Standing dead,,3,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,7,Eriophorum vaginatum,Live,,4,7.8,,,FALSE,HE,1
,,,Standing dead,,7,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,8,Eriophorum vaginatum,Standing dead,,4,6.1,,,FALSE,HE,1
,,,Live,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,9,Eriophorum vaginatum,Live,,2,11.6,,,FALSE,HE,1
,,,Standing dead,,3,,,,FALSE,HE,1
,,Salix pulchra,,,,14.1,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,10,Eriophorum vaginatum,Live,,3,17.6,,,FALSE,HE,1
,,,Standing dead,,1,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
2,1,Hierochole alpine,,,,7.7,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,1
,,,Live,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,2,Hierochole alpine,Live,Flower stalk,1,33.3,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,,2,,,,FALSE,HE,1
,,,Standing dead,,1,,,,FALSE,HE,1
,,Salix pulchra,,,,7.6,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,3,Eriophorum vaginatum,Live,,,11.8,,,FALSE,HE,1
,,,Standing dead,,2,,,,FALSE,HE,1
,,Salix pulchra,Live,Stem,1,3.4,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,4,Polygonum bistorta,Live,Leaf,1,15.8,,,FALSE,HE,1
,,Saussurea angustifolia,,,,,,,FALSE,HE,1
,,Arctagrostis latifolia,,,,,,,FALSE,HE,1
,,Salix pulchra,,,,6.9,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,5,Eriophorum vaginatum,Live,Flower stalk,,13.5,,,FALSE,HE,1
,,,Live,Leaf,3,,,,FALSE,HE,1
,,,Standing dead,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,6,Eriophorum vaginatum,Standing dead,,4,18.8,,,FALSE,HE,1
,,,Live,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,7,Eriophorum vaginatum,Live,,,,,,FALSE,HE,1
,,Luzula arctica,Live,,1,14,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,1
,,Salix pulchra,Standing dead,,1,10.1,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,8,Eriophorum vaginatum,Live,,2,12.7,,,FALSE,HE,1
,,,Standing dead,,2,,,,FALSE,HE,1
,,Salix pulchra,Live,Stem,1,4.7,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,9,Luzula arctica,Standing dead,Flower stalk,1,20.4,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,Leaf,2,,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,Leaf,3,,,,FALSE,HE,1
,,Salix phlebophylla,,,,,,,FALSE,HE,1
,10,Eriophorum vaginatum,Live,Leaf,3,25.9,,,FALSE,HE,1
,,Arctagrostis latifolia,Live,Leaf,1,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
3,1,Eriophorum vaginatum,Live,Leaf,1,14.4,,,FALSE,HE,1
,,,Standing dead,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,2,Eriophorum vaginatum,Standing dead,,3,9.9,,,FALSE,HE,1
,,,Live,,1,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,3,Eriophorum vaginatum,Live,N/A,1,6,,Seed on the ground,FALSE,HE,1
,,Eriophorum vaginatum,Live,,2,,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,4,Eriophorum vaginatum,Live,,2,8.8,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,Leaf,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,5,Eriophorum vaginatum,Live,Leaf,4,17.8,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,Leaf,2,,,,FALSE,HE,1
,,Pedicularis capitata,,,1,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,6,Eriophorum vaginatum,Live,,1,14.8,,,FALSE,HE,1
,,Hierochole alpine,Live,,1,,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,7,Eriophorum vaginatum,Standing dead,,4,9.5,,,FALSE,HE,1
,,,Live,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,8,Eriophorum vaginatum,Live,,2,7.4,,,FALSE,HE,1
,,Salix reticulata,,,,,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,9,Eriophorum vaginatum,Live,,2,11.5,,,FALSE,HE,1
,,Arctagrostis latifolia,,,,,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,1
,,Pedicularis capitata,Live,,1,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,10,Salix pulchra,Live,,2,7.9,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,1
,,XXXothermoss,,,,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
4,1,Eriophorum vaginatum,Live,,6,7.7,,,FALSE,HE,1
,,,Standing dead,,4,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,2,Eriophorum vaginatum,Live,,4,9.7,,,FALSE,HE,1
,,,Standing dead,,2,,,,FALSE,HE,1
,,Salix pulchra,,,,8.3,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,3,Arctagrostis latifolia,Live,,2,10,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,4,Eriophorum vaginatum,Live,Flower,1,9.5,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,,1,,,,FALSE,HE,1
,,,Standing dead,,1,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,5,Eriophorum vaginatum,Live,,3,7.9,,,FALSE,HE,1
,,,,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,6,Eriophorum vaginatum,Standing dead,,3,8.9,,,FALSE,HE,1
,,,Live,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,7,Eriophorum vaginatum,Standing dead,,4,8.9,,,FALSE,HE,1
,,,Live,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,8,Eriophorum vaginatum,Live,,4,16,,,FALSE,HE,1
,,,Standing dead,,4,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,9,Eriophorum vaginatum,Live,,2,11.3,,,FALSE,HE,1
,,,Standing dead,,1,,,,FALSE,HE,1
,,Pedicularis capitata,Live,Stem,1,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,10,Arctagrostis latifolia,Standing dead,,1,10.1,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
5,1,Salix pulchra,Live,,3,13.9,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,,1,,,,FALSE,HE,1
,,Arctagrostis latifolia,Live,Stem,1,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,,XXXothermoss,,,,,,,FALSE,HE,1
,2,Eriophorum vaginatum,Live,,2,13.9,,,FALSE,HE,1
,,XXXkobresia,Live,Leaf,1,,,See ipad photo,FALSE,HE,1
,,Salix pulchra,Live,Leaf,1,4.1,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,,XXXothermoss,,,,,,,FALSE,HE,1
,3,Eriophorum vaginatum,Live,Leaf,3,14.1,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,1,,,,FALSE,HE,1
,,Salix pulchra,Live,Leaf,1,6.8,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,,XXXothermoss,,,,,,,FALSE,HE,1
,4,Arctagrostis latifolia,,,,12.8,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,,2,,,,FALSE,HE,1
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,1
,,Polygonum bistorta,,,,,,,FALSE,HE,1
,,Salix phlebophylla,,,,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,5,Eriophorum vaginatum,Live,,,9.8,,,FALSE,HE,1
,,,Standing dead,,3,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,6,Eriophorum vaginatum,Standing dead,,5,8.6,,,FALSE,HE,1
,,Eriophorum vaginatum,Live,,3,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,7,Eriophorum vaginatum,Live,,2,22.2,,,FALSE,HE,1
,,,Standing dead,,3,,,,FALSE,HE,1
,,XXXlitter,,,,,,,FALSE,HE,1
,8,Eriophorum vaginatum,Live,,4,18.5,,,FALSE,HE,1
,,,Standing dead,,3,,,,FALSE,HE,1
