Y,X,,Status,Tissue,Count,Height (cm),Herbivory,Notes,Photo
1,1,Alopecurus alpinus,Standing dead,Leaf,1,6.2,,Record  species which are in the plot but weren’t hit,FALSE
,,Oxytropis campestris,Live,Leaf,2,,,XXXfungus,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,Polygonum viviparum,FALSE
,,XXXlitter,,,,,,Cetraria cucculata,FALSE
1,2,Alopecurus alpinus,Live,Leaf,1,11.9,,XXXcrustous,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,3,,,Luzula arctica,FALSE
,,Saussurea angustifolia,Live,Leaf,1,,,Polygonum bistorta,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,Just outside plot:,FALSE
1,3,Alopecurus alpinus,Live,Leaf,1,14,,Castileja elegance,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,3,,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,4,Dryas integrifolia,Live,Leaf,2,2.1,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,5,Alopecurus alpinus,Live,Leaf,1,7.3,,,FALSE
,,Alopecurus alpinus,Standing dead,Flower stalk,1,,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
1,6,Alopecurus alpinus,Live,Leaf,1,11.6,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
1,7,Alopecurus alpinus,Live,Leaf,2,6.3,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,XXXbareground,,,,,,,FALSE
1,8,Alopecurus alpinus,Live,Leaf,3,7.4,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,XXXbareground,,,,,,,FALSE
1,9,Alopecurus alpinus,Live,Leaf,2,8.8,,,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXbareground,,,,,,,FALSE
1,10,Salix arctica,Live,Leaf,1,4.5,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
2,1,Alopecurus alpinus,Standing dead,Leaf,4,5.9,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,2,Alopecurus alpinus,Live,Leaf,1,9.1,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,Dryas integrifolia,Standing dead,Leaf,1,,,,FALSE
2,3,Salix arctica,Live,Leaf,1,3.9,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,1,,,,FALSE
,,Salix arctica,Standing dead,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,4,Salix arctica,Standing dead,Flower,1,3.5,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,Dryas integrifolia,Live,Stem,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,5,Alopecurus alpinus,Live,Leaf,1,4.7,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,6,Alopecurus alpinus,Live,Leaf,2,7.7,,,FALSE
,,Salix arctica,Live,Leaf,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXbareground,,,,,,,FALSE
2,7,Alopecurus alpinus,Live,Leaf,2,4.7,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,8,Alopecurus alpinus,Standing dead,Flower stalk,1,5.4,,,FALSE
,,Alopecurus alpinus,Live,Leaf,1,,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,XXXbareground,,,,,,,FALSE
2,9,Alopecurus alpinus,Standing dead,Leaf,1,4,,,FALSE
,,XXXbareground,,,,,,,FALSE
2,10,Dryas integrifolia,Live,Leaf,3,2.6,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,1,Alopecurus alpinus,Standing dead,Leaf,3,12,,,FALSE
,,Astralagus umbelletus,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,2,Alopecurus alpinus,Live,Leaf,1,9.4,,,FALSE
,,Salix arctica,Live,Leaf,1,,,,FALSE
,,Salix arctica,Live,Stem,1,,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,3,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,3,Alopecurus alpinus,Standing dead,Leaf,3,4.5,,,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
3,4,Alopecurus alpinus,Standing dead,Leaf,2,3.6,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,5,Alopecurus alpinus,Live,Leaf,1,4.6,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,Dryas integrifolia,Live,Stem,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,6,Alopecurus alpinus,Standing dead,Leaf,2,3,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
