"","plot_unique","richness","shannon","simpson","evenness","bareground","dead","reproductive_tissue","total_cover","shrub","graminoid","gram_shrub_ratio"
"1","HE_1_2018",14,1.73051294609733,0.726591561271123,0.6390254306929,1,19,5,181,15,78,5.2
"2","HE_1_2019",16,1.81091233459375,0.711924752896163,0.639172598277095,0,20,5,192,27,77,2.85185185185185
"3","HE_2_2018",19,2.12227674245457,0.803544466721121,0.697080342111562,2,14,2,201,24,61,2.54166666666667
"4","HE_2_2019",18,2.22529734741392,0.842039326174973,0.755762766068223,0,23,4,216.1,38,59,1.55263157894737
"5","HE_3_2018",11,1.74824326483043,0.752641838514415,0.703544845428935,2,26,5,167,10,79,7.9
"6","HE_3_2019",14,1.76770013927321,0.741843095595103,0.652757522203146,0,10,0,171.6,17,87,5.11764705882353
"7","HE_4_2018",13,1.96133368266884,0.82511828260716,0.72426045937795,1,14,3,203,19,42,2.21052631578947
"8","HE_4_2019",14,1.84709413101019,0.802892896355835,0.682075291757294,0,30,2,196.6,31,41,1.32258064516129
"9","HE_5_2018",14,1.90400770065037,0.799138284057437,0.703091729937434,1,15,2,177.7,19,59,3.10526315789474
"10","HE_5_2019",14,1.90983673438113,0.79086258179655,0.705244213568791,0,34,0,186,25,66,2.64
"11","HE_6_2018",17,1.74034644767106,0.751197417742607,0.6021185485627,6,11,5,169,19,64,3.36842105263158
"12","HE_6_2019",16,1.85666322769328,0.794581691862835,0.655320656168855,2,16,0,190,39,59,1.51282051282051
"13","KO_1_2018",12,1.65822908615921,0.680416666666667,0.628341441298269,5,21,5,181,4,65,16.25
"14","KO_1_2019",15,1.80970439429192,0.69408579758434,0.65271288877998,3,34,1,168,1,73,73
"15","KO_2_2018",10,1.37741559424,0.630425347222222,0.554312812659388,1,32,3,174,4,86,21.5
"16","KO_2_2019",9,1.28683747466342,0.607931552780668,0.558866414352641,2,34,3,171,3,82,27.3333333333333
"17","KO_3_2018",14,1.72307345036286,0.725066666666667,0.636278252767082,5,22,2,156,11,37,3.36363636363636
"18","KO_3_2019",14,1.72599090342217,0.701241782322863,0.637355578829253,5,32,8,175,7,43,6.14285714285714
"19","KO_4_2018",13,1.61830867303705,0.71385784206297,0.597591829124281,9,22,2,143,13,44,3.38461538461538
"20","KO_4_2019",12,1.44518929716288,0.632741020793951,0.547615726625222,7,37,5,167,8,58,7.25
"21","KO_5_2018",17,1.88160055008086,0.769110204081633,0.639035335218099,7,13,6,184,24,31,1.29166666666667
"22","KO_5_2019",14,1.91630638456993,0.794175694048507,0.691161429460723,7,13,2,180,16,50,3.125
"23","KO_6_2018",18,2.07179007239367,0.818015402095695,0.716790173005869,6,5,5,155,25,8,0.32
"24","KO_6_2019",15,1.93903826072804,0.818793402777778,0.699360220711578,10,10,2,169,17,16,0.941176470588235
