"","Y","X","SPP","STATUS","TISSUE","Abundance","Height..cm.","Herbivory","Notes","Photo","PlotN","YEAR","SITE","SUBSITE","PLOT","TRTMT","Hit.Order"
"1",1,1,"Arctagrostis latifolia","Standing dead","Leaf",1,15.9,NA,"Record  species which are in the plot but weren’t hit",FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"2",1,1,"Eriophorum vaginatum","Live","Leaf",5,NA,NA,"Senecio astropurpureus",FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"3",1,1,"Eriophorum vaginatum","Standing dead","Leaf",4,NA,NA,"Cardamine digitalis",FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"4",1,1,"XXXlitter","Dead",NA,NA,NA,NA,"Pedicularis lanata",FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"5",1,2,"Hierochole alpine","Standing dead","Leaf",1,13.9,NA,"Artemisia norvegica",FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"6",1,2,"Eriophorum vaginatum","Live","Leaf",4,NA,NA,"Moss dinosaur ",FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"7",1,2,NA,"Standing dead","Leaf",4,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"8",1,2,"XXXothermoss","Live","NA",NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"9",1,2,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"10",1,3,"Salix pulchra","Live","Leaf",2,10.8,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"11",1,3,"Salix pulchra","Live","Stem",2,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"12",1,3,"Eriophorum vaginatum","Live","Leaf",2,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"13",1,3,"Eriophorum vaginatum","Standing dead","Leaf",6,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"14",1,3,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"15",1,4,"Eriophorum vaginatum","Live","Flower stalk",1,23.5,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"16",1,4,"Eriophorum vaginatum","Live","Leaf",6,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"17",1,4,"Eriophorum vaginatum","Standing dead","Leaf",3,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"18",1,4,"Cassiope tetragona","Live","Leaf",1,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"19",1,4,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"20",1,5,"Poa arctica","Live","Flower",1,17,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"21",1,5,"Eriophorum vaginatum","Live","Leaf",3,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"22",1,5,"Eriophorum vaginatum","Standing dead","Leaf",6,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"23",1,5,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"24",1,6,"Eriophorum vaginatum","Live",NA,1,8.4,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"25",1,6,NA,"Standing dead",NA,3,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"26",1,6,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"27",1,7,"Eriophorum vaginatum","Live",NA,4,7.8,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"28",1,7,NA,"Standing dead",NA,7,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"29",1,7,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"30",1,8,"Eriophorum vaginatum","Standing dead",NA,4,6.1,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"31",1,8,NA,"Live",NA,2,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"32",1,8,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"33",1,9,"Eriophorum vaginatum","Live",NA,2,11.6,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"34",1,9,NA,"Standing dead",NA,3,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"35",1,9,"Salix pulchra",NA,NA,NA,14.1,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"36",1,9,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"37",1,10,"Eriophorum vaginatum","Live",NA,3,17.6,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"38",1,10,NA,"Standing dead",NA,1,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"39",1,10,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"40",2,1,"Hierochole alpine",NA,NA,NA,7.7,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"41",2,1,"Eriophorum vaginatum","Standing dead",NA,2,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"42",2,1,NA,"Live",NA,2,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"43",2,1,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"44",2,2,"Hierochole alpine","Live","Flower stalk",1,33.3,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"45",2,2,"Eriophorum vaginatum","Live",NA,2,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"46",2,2,NA,"Standing dead",NA,1,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"47",2,2,"Salix pulchra",NA,NA,NA,7.6,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"48",2,2,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"49",2,3,"Eriophorum vaginatum","Live",NA,NA,11.8,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"50",2,3,NA,"Standing dead",NA,2,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"51",2,3,"Salix pulchra","Live","Stem",1,3.4,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"52",2,3,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"53",2,4,"Polygonum bistorta","Live","Leaf",1,15.8,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"54",2,4,"Saussurea angustifolia",NA,NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"55",2,4,"Arctagrostis latifolia",NA,NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"56",2,4,"Salix pulchra",NA,NA,NA,6.9,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"57",2,4,"Eriophorum vaginatum","Standing dead",NA,3,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"58",2,4,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"59",2,5,"Eriophorum vaginatum","Live","Flower stalk",NA,13.5,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"60",2,5,NA,"Live","Leaf",3,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"61",2,5,NA,"Standing dead",NA,2,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"62",2,5,"XXXlitter","Dead",NA,NA,NA,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
"63",2,6,"Eriophorum vaginatum","Standing dead",NA,4,18.8,NA,NA,FALSE,"HE1",2019,"QHI","HE","1","CTL","N/A"
