"","SITE","SUBSITE","TRTMT","PLOT","YEAR","SPP","STATUS","TISSUE","X","Y","Hit.Order","Abundance","Height..cm."
"1","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",1,1,NA,1,186
"2","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",1,1,NA,2,1
"3","QHI","HE","CTL",1,1999,"SALPHL","LIVE","LEAF",1,1,NA,1,1
"4","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,1,1,NA,1,1
"5","QHI","HE","CTL",1,1999,"SALRET","LIVE","LEAF",1,2,NA,1,126
"6","QHI","HE","CTL",1,1999,"THASUB","LIVE","LEAF",1,2,NA,1,1
"7","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,1,2,NA,1,1
"8","QHI","HE","CTL",1,1999,"XXXluzula","LIVE","LEAF",1,2,NA,1,1
"9","QHI","HE","CTL",1,1999,"SALRET","LIVE","LEAF",1,3,NA,1,20
"10","QHI","HE","CTL",1,1999,"THASUB","LIVE","LEAF",1,3,NA,1,1
"11","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",1,3,NA,1,1
"12","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",1,4,NA,1,3
"13","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",1,5,NA,2,364
"14","QHI","HE","CTL",1,1999,"SALRET","LIVE","LEAF",1,5,NA,1,1
"15","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,1,5,NA,1,1
"16","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",1,6,NA,3,307
"17","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",1,6,NA,1,1
"18","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,1,6,NA,1,1
"19","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",1,7,NA,2,358
"20","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,1,7,NA,1,1
"21","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",1,8,NA,1,90
"22","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",1,8,NA,1,1
"23","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,1,8,NA,1,1
"24","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",1,9,NA,3,345
"25","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",1,9,NA,4,1
"26","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,1,9,NA,1,1
"27","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",1,10,NA,3,369
"28","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",1,10,NA,5,1
"29","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,1,10,NA,1,1
"30","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",2,1,NA,1,389
"31","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",2,1,NA,2,1
"32","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,2,1,NA,1,1
"33","QHI","HE","CTL",1,1999,"CETCUC","LIVE","LEAF",2,2,NA,1,3
"34","QHI","HE","CTL",1,1999,"SALPUL","STANDINGDEAD","STEM",2,2,NA,1,1
"35","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",2,2,NA,1,1
"36","QHI","HE","CTL",1,1999,"SALRET","LIVE","LEAF",2,3,NA,1,345
"37","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",2,3,NA,1,1
"38","QHI","HE","CTL",1,1999,"THASUB","LIVE","LEAF",2,4,NA,1,3
"39","QHI","HE","CTL",1,1999,"SENATR","LIVE","LEAF",2,5,NA,1,340
"40","QHI","HE","CTL",1,1999,"CETISL","LIVE","LEAF",2,5,NA,1,1
"41","QHI","HE","CTL",1,1999,"THASUB","LIVE","LEAF",2,5,NA,1,1
"42","QHI","HE","CTL",1,1999,"THASUB","LIVE","LEAF",2,6,NA,2,126
"43","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,2,6,NA,1,1
"44","QHI","HE","CTL",1,1999,"SALPUL","LIVE","STEM",2,7,NA,1,3
"45","QHI","HE","CTL",1,1999,"XXXluzula","LIVE","LEAF",2,7,NA,1,1
"46","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",2,7,NA,1,1
"47","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",2,8,NA,1,75
"48","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",2,8,NA,2,1
"49","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,2,8,NA,1,1
"50","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",2,9,NA,1,30
"51","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,2,9,NA,1,1
"52","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",2,10,NA,1,238
"53","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",2,10,NA,1,1
"54","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,2,10,NA,1,1
"55","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",3,1,NA,7,75
"56","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",3,1,NA,2,1
"57","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",3,2,NA,6,35
"58","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",3,2,NA,2,1
"59","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,3,2,NA,1,1
"60","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,3,3,NA,1,3
"61","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",3,4,NA,1,233
"62","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,3,4,NA,1,1
"63","QHI","HE","CTL",1,1999,"XXXotherlichen","LIVE","LEAF",3,5,NA,1,20
"64","QHI","HE","CTL",1,1999,"XXXbareground",NA,NA,3,5,NA,1,1
"65","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",3,6,NA,1,3
"66","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,3,6,NA,1,1
"67","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",3,7,NA,1,374
"68","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",3,7,NA,2,1
"69","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",3,7,NA,2,1
"70","QHI","HE","CTL",1,1999,"SALRET","LIVE","LEAF",3,7,NA,1,1
"71","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",3,8,NA,4,369
"72","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",3,8,NA,1,1
"73","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",3,9,NA,3,358
"74","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",3,9,NA,1,1
"75","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",3,10,NA,4,115
"76","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",3,10,NA,1,1
"77","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",4,1,NA,1,131
"78","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",4,1,NA,1,1
"79","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",4,2,NA,4,345
"80","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",4,2,NA,1,1
"81","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",4,3,NA,1,358
"82","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",4,3,NA,1,1
"83","QHI","HE","CTL",1,1999,"SAUANG","LIVE","LEAF",4,3,NA,1,1
"84","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",4,4,NA,2,15
"85","QHI","HE","CTL",1,1999,"XXXotherlichen","LIVE","LEAF",4,4,NA,1,1
"86","QHI","HE","CTL",1,1999,"XXXbareground",NA,NA,4,5,NA,1,3
"87","QHI","HE","CTL",1,1999,"XXXotherlichen","LIVE","LEAF",4,6,NA,1,3
"88","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",4,7,NA,2,374
"89","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",4,7,NA,1,1
